userid,num_rows,num_attempts,mean_score_pct,median_score_pct,num_quizzes_taken,avg_time_spent_seconds,total_events,unique_courses,first_activity,last_activity,num_views,num_reports,active_days,events_per_day,engagement_score,consistency_score,performance_category,cluster,ml_cluster
22391,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-08 18:53:10,2024-11-15 19:00:01,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
22399,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-08 19:24:02,2024-11-15 19:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
22400,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-08 19:29:55,2024-11-15 19:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
22401,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-08 19:45:28,2024-11-15 20:00:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
22864,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-09 17:22:26,2024-11-16 17:30:03,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
22865,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-09 17:22:47,2024-11-16 17:30:03,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
22901,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-09 18:51:17,2024-11-16 19:00:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
22917,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-09 19:05:02,2024-11-16 19:30:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
23449,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-10 18:14:43,2024-11-17 18:30:01,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
23450,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-10 18:16:25,2024-11-17 18:30:01,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
23451,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-10 18:18:29,2024-11-17 18:30:01,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
23494,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-10 23:44:02,2024-11-18 00:01:01,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
23495,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-11 00:18:06,2024-11-18 00:30:01,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
23498,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-11 09:17:25,2024-11-18 09:30:03,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
23499,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-11 09:20:31,2024-11-18 09:30:03,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
23500,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-11 09:22:27,2024-11-18 09:30:03,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
23501,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-11 09:24:48,2024-11-18 09:30:03,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
23503,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-11 09:29:30,2024-11-18 09:30:03,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
23506,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-11 15:58:16,2024-11-18 16:00:01,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
23508,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-11 18:37:50,2024-11-18 19:00:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
23509,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2024-11-11 18:58:39,2024-11-18 19:00:02,0.0,0.0,7.0,0.29,9.0,0.29,Low,0,0
23914,56.0,0.0,0.0,0.0,0.0,-1729921836.0,25921.0,79.0,2024-09-12 18:58:35,2025-09-27 12:24:38,2742.0,0.0,379.0,68.39,29042.0,68.39,Low,1,1
24102,0.0,0.0,0.0,0.0,0.0,0.0,111.0,23.0,2024-09-24 09:46:50,2025-07-14 12:27:21,95.0,0.0,293.0,0.38,499.0,0.38,Low,0,0
24251,30.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,2025-05-05 11:53:43,2025-05-05 11:57:44,10.0,0.0,0.0,22.0,32.0,22.0,Low,0,0
